SampleName	Condition
18_4T1_4h_20uCi	4T1_4h
12_4T1_ctrl	4T1_ctrl
16_4T1_ctrl	4T1_ctrl
28_B16_F10_4h_40uCi	B16_F10_4h
24_B16_F10_24h_40uCi	B16_F10_24h
33_MC_38_4h_40uCi	MC_38_4h
21_B16_F10_ctrl	B16_F10_ctrl
32_MC_38_ctrl	MC_38_ctrl
34_MC_38_24h_40uCi	MC_38_24h
20_4T1_72h_20uCi	4T1_72h
26_B16_F10_ctrl	B16_F10_ctrl
5_MOPC315_BM_72h_5uCi	MOPC315_BM_72h
1_MOPC315_BM_ctrl	MOPC315_BM_ctrl
31_MC_38_ctrl	MC_38_ctrl
4_MOPC315_BM_24h_5uCi	MOPC315_BM_24h
13_4T1_4h_20uCi	4T1_4h
7_MOPC315_BM_ctrl	MOPC315_BM_ctrl
6_MOPC315_BM_ctrl	MOPC315_BM_ctrl
30_B16_F10_72h_40uCi	B16_F10_72h
10_MOPC315_BM_72h_5uCi	MOPC315_BM_72h
39_MC_38_24h_40uCi	MC_38_24h
29_B16_F10_24h_40uCi	B16_F10_24h
17_4T1_ctrl	4T1_ctrl
3_MOPC315_BM_4h_5uCi	MOPC315_BM_4h
37_MC_38_ctrl	MC_38_ctrl
35_MC_38_72h_40uCi	MC_38_72h
19_4T1_24h_20uCi	4T1_24h
11_4T1_ctrl	4T1_ctrl
14_4T1_24h_20uCi	4T1_24h
22_B16_F10_ctrl	B16_F10_ctrl
2_MOPC315_BM_ctrl	MOPC315_BM_ctrl
8_MOPC315_BM_4h_5uCi	MOPC315_BM_4h
36_MC_38_ctrl	MC_38_ctrl
40_MC_38_72h_40uCi	MC_38_72h
25_B16_F10_72h_40uCi	B16_F10_72h
38_MC_38_4h_40uCi	MC_38_4h
23_B16_F10_4h_40uCi	B16_F10_4h
27_B16_F10_ctrl	B16_F10_ctrl
15_4T1_72h_20uCi	4T1_72h
9_MOPC315_BM_24h_5uCi	MOPC315_BM_24h
